scan,cluster
SPRING1700,C1
SPRING1703,C7
SPRING1705,C4
SPRING1706,C3
SPRING1708,C1
SPRING1709,C4
SPRING1711,C3
SPRING1713,C4
SPRING1716,C3
SPRING1718,C4
SPRING1719,C3
SPRING1721,C7
SPRING1722,C4
SPRING1723,C6
SPRING1724,C2
SPRING1725,C3
SPRING1726,C7
SPRING1727,C6
SPRING1728,C3
SPRING1729,C3
SPRING1730,C5
SPRING1731,C2
SPRING1732,C2
SPRING1733,C7
SPRING1734,C2
SPRING1736,C1
SPRING1738,C3
SPRING1739,C3
SPRING1741,C6
SPRING1742,C3
SPRING1743,C1
SPRING1746,C7
SPRING1748,C5
SPRING1749,C7
SPRING1750,C7
SPRING1751,C3
SPRING1752,C4
SPRING1753,C7
SPRING1754,C5
SPRING1755,C1
SPRING1757,C7
SPRING1758,C4
SPRING1760,C3
SPRING1762,C2
SPRING1763,C3
SPRING1764,C3
SPRING1765,C3
SPRING1768,C7
SPRING1769,C3
SPRING1770,C1
SPRING1771,C2
SPRING1772,C2
SPRING1773,C5
SPRING1774,C1
SPRING1775,C3
SPRING1776,C3
SPRING1778,C3
SPRING1779,C3
SPRING1781,C2
SPRING1782,C4
SPRING1783,C3
SPRING1784,C5
SPRING1787,C2
SPRING1789,C3
SPRING1791,C3
SPRING1793,C7
SPRING1795,C4
SPRING1796,C6
SPRING1799,C3
SPRING1801,C2
SPRING1802,C5
SPRING1803,C6
SPRING1805,C2
SPRING1806,C3
SPRING1807,C6
SPRING1809,C1
SPRING1810,C4
SPRING1811,C2
SPRING1812,C2
SPRING1813,C3
SPRING1815,C6
SPRING1817,C7
SPRING1820,C2
SPRING1821,C2
SPRING1822,C3
SPRING1824,C5
SPRING1827,C7
SPRING1828,C7
SPRING1829,C4
SPRING1830,C7
SPRING1831,C2
SPRING1832,C1
SPRING1836,C5
SPRING1837,C3
SPRING1838,C2
SPRING1841,C2
SPRING1843,C7
SPRING1844,C3
SPRING1845,C5
SPRING1846,C6
SPRING1849,C1
SPRING1853,C3
SPRING1854,C2
SPRING1855,C2
