representation,method,k,gdi
silhouette_trunk,kmeans,6,0.8057742782152231
silhouette_trunk,kmeans,7,0.8300524934383202
silhouette_trunk,kmeans,8,0.8064304461942258
silhouette_trunk,kmeans,9,0.8359580052493438
silhouette_trunk,kmeans,10,0.8431758530183727
silhouette_trunk,kmeans,11,0.8431758530183727
silhouette_trunk,kmeans,12,0.8458005249343832
silhouette_trunk,kmeans,13,0.8366141732283464
silhouette_trunk,kmeans,14,0.847769028871391
silhouette_trunk,kmeans,15,0.8366141732283464
silhouette_trunk,kmeans,16,0.8398950131233596
silhouette_trunk,kmeans,17,0.8503937007874016
silhouette_trunk,kmeans,18,0.8543307086614174
silhouette_trunk,kmeans,19,0.8576115485564304
silhouette_trunk,kmeans,20,0.8490813648293963
silhouette_trunk,kmeans,21,0.8562992125984252
silhouette_trunk,kmeans,22,0.847769028871391
silhouette_trunk,kmeans,23,0.8510498687664042
silhouette_trunk,kmeans,24,0.8562992125984252
silhouette_trunk,kmeans,25,0.8490813648293963
silhouette_trunk,kmeans,26,0.8503937007874016
silhouette_trunk,kmeans,27,0.8569553805774278
silhouette_trunk,kmeans,28,0.8536745406824147
silhouette_trunk,kmeans,29,0.8582677165354331
silhouette_trunk,kmeans,30,0.8582677165354331
silhouette_trunk,kmedoids,2,0.6141732283464565
silhouette_trunk,kmedoids,3,0.7683727034120735
silhouette_trunk,kmedoids,4,0.800524934383202
silhouette_trunk,kmedoids,5,0.7723097112860893
silhouette_trunk,kmedoids,6,0.7775590551181102
silhouette_trunk,kmedoids,7,0.7926509186351706
silhouette_trunk,kmedoids,8,0.8051181102362205
silhouette_trunk,kmedoids,9,0.8412073490813649
silhouette_trunk,kmedoids,10,0.8280839895013123
silhouette_trunk,kmedoids,11,0.8287401574803149
silhouette_trunk,kmedoids,12,0.8451443569553806
silhouette_trunk,kmedoids,13,0.8418635170603674
silhouette_trunk,kmedoids,14,0.8398950131233596
silhouette_trunk,kmedoids,15,0.8438320209973753
silhouette_trunk,kmedoids,16,0.8451443569553806
silhouette_trunk,kmedoids,17,0.8464566929133859
silhouette_trunk,kmedoids,18,0.8451443569553806
silhouette_trunk,kmedoids,19,0.865485564304462
silhouette_trunk,kmedoids,20,0.8661417322834646
silhouette_trunk,kmedoids,21,0.8556430446194225
silhouette_trunk,kmedoids,22,0.85498687664042
silhouette_trunk,kmedoids,23,0.8543307086614174
silhouette_trunk,kmedoids,24,0.8543307086614174
silhouette_trunk,kmedoids,25,0.844488188976378
silhouette_trunk,kmedoids,26,0.844488188976378
silhouette_trunk,kmedoids,27,0.8536745406824147
silhouette_trunk,kmedoids,28,0.8536745406824147
silhouette_trunk,kmedoids,29,0.8536745406824147
silhouette_trunk,kmedoids,30,0.8536745406824147
